date,Impact energy (kt),Velocity (kps),altitude (km),coord
8/27/2018,0.086,16.1,33,"(('1.7', 'S'), ('141.4', 'E'))"
8/21/2018,0.079,0,37,"(('39.2', 'S'), ('162.9', 'W'))"
7/27/2018,0.32,0,32,"(('58.8', 'S'), ('105.8', 'E'))"
7/25/2018,2.1,24.4,43.3,"(('76.9', 'N'), ('69.0', 'W'))"
7/17/2018,0.59,0,0,"(('82.5', 'N'), ('136.7', 'W'))"
6/26/2018,0.1,14.1,63,"(('32.0', 'N'), ('12.1', 'E'))"
6/21/2018,2.8,14.4,27.2,"(('52.8', 'N'), ('38.1', 'E'))"
6/2/2018,0.98,16.9,28.7,"(('21.2', 'S'), ('23.3', 'E'))"
5/12/2018,0.54,0,34,"(('6.5', 'S'), ('173.7', 'E'))"
5/8/2018,0.23,0,0,"(('32', 'N'), ('60.7', 'W'))"
5/3/2018,0.13,11.5,39,"(('46.9', 'N'), ('7.5', 'W'))"
4/30/2018,0.1,13.1,34,"(('45.5', 'S'), ('1.4', 'W'))"
4/21/2018,0.12,14.6,28.2,"(('59.0', 'S'), ('45.8', 'E'))"
4/19/2018,0.23,20.9,30,"(('7.5', 'N'), ('3.6', 'E'))"
4/19/2018,1.3,10.9,31.5,"(('22.2', 'S'), ('72.6', 'E'))"
4/7/2018,0.27,0,31.5,"(('72.4', 'N'), ('78.7', 'W'))"
2/21/2018,0.22,13.1,31.5,"(('13.5', 'S'), ('37.1', 'W'))"
2/15/2018,0.095,0,50.7,"(('43.8', 'S'), ('1.1', 'W'))"
2/12/2018,0.13,0,0,"(('15.9', 'S'), ('58.9', 'W'))"
2/8/2018,0.7,0,43.5,"(('42.9', 'N'), ('179.7', 'E'))"
2/1/2018,0.53,16.5,37,"(('19.4', 'S'), ('104.3', 'E'))"
1/22/2018,0.11,0,0,"(('14.0', 'N'), ('17.4', 'W'))"
1/15/2018,0.56,23.7,43.6,"(('52.0', 'S'), ('57.2', 'E'))"
1/6/2018,0.098,21,26,"(('55.8', 'N'), ('52.5', 'E'))"
1/6/2018,0.12,0,26,"(('39.5', 'S'), ('12.8', 'E'))"
12/31/2017,0.15,0,64.5,"(('63.5', 'S'), ('101.3', 'W'))"
12/29/2017,0.33,0,38,"(('14.6', 'N'), ('49.5', 'W'))"
12/28/2017,0.34,0,0,"((None, None), (None, None))"
12/15/2017,6.4,31.4,20,"(('60.2', 'N'), ('170.0', 'E'))"
11/19/2017,0.098,11.4,33.3,"(('24.2', 'S'), ('135.0', 'E'))"
10/26/2017,1.4,0,42.5,"(('21.3', 'S'), ('177.6', 'E'))"
10/23/2017,0.086,16.7,35.4,"(('28.8', 'N'), ('44.6', 'E'))"
10/15/2017,0.11,15.9,24.1,"(('65.2', 'S'), ('128.2', 'E'))"
10/9/2017,0.1,0,0,"(('18.3', 'S'), ('64.1', 'W'))"
10/4/2017,0.54,14.6,37,"(('28.1', 'N'), ('99.4', 'E'))"
9/5/2017,0.13,14.7,36,"(('49.3', 'N'), ('116.9', 'W'))"
7/31/2017,0.19,0,0,"(('24.7', 'N'), ('118.5', 'W'))"
7/23/2017,0.12,17.2,38,"(('6.6', 'S'), ('69.7', 'W'))"
7/13/2017,0.23,13.7,35,"(('23.1', 'N'), ('60.7', 'E'))"
6/30/2017,0.29,15.2,20,"(('34.3', 'S'), ('134.5', 'E'))"
6/23/2017,0.52,24.3,35.1,"(('57.0', 'N'), ('143.7', 'E'))"
6/20/2017,1.6,13.6,33.3,"(('54.2', 'S'), ('133.0', 'E'))"
5/24/2017,0.28,18.4,46,"(('9.1', 'S'), ('101.8', 'E'))"
5/22/2017,0.12,0,33,"(('49.6', 'S'), ('157.6', 'W'))"
5/14/2017,0.12,0,33,"(('26.0', 'S'), ('32.4', 'E'))"
4/30/2017,0.43,21.5,32.4,"(('25.7', 'S'), ('56.2', 'E'))"
3/11/2017,2.9,0,28,"(('28.3', 'N'), ('60.2', 'W'))"
3/9/2017,1,36.5,23,"(('40.5', 'N'), ('18.0', 'W'))"
3/8/2017,0.23,0,37,"(('26.1', 'S'), ('174.9', 'E'))"
2/25/2017,0.21,12.2,25.4,"(('29.5', 'N'), ('13.5', 'E'))"
2/22/2017,0.13,0,0,"(('50.7', 'S'), ('66.0', 'W'))"
2/18/2017,0.79,24.2,38,"(('6.2', 'N'), ('60.4', 'E'))"
2/7/2017,0.073,0,54,"(('27.4', 'S'), ('14.8', 'W'))"
2/6/2017,0.21,0,33.5,"(('10.4', 'N'), ('131.6', 'E'))"
12/23/2016,0.13,29.7,42,"(('21.3', 'N'), ('49.3', 'E'))"
12/7/2016,0.35,0,0,"(('34.5', 'S'), ('126.6', 'W'))"
11/29/2016,0.11,0,0,"(('30.6', 'S'), ('93.1', 'W'))"
11/24/2016,0.4,17.4,30.6,"(('15.2', 'S'), ('80.3', 'E'))"
11/3/2016,0.24,0,37,"(('39.6', 'S'), ('16.3', 'W'))"
10/1/2016,0.11,14.2,27.8,"(('36.2', 'N'), ('6.7', 'E'))"
9/22/2016,0.22,17.5,40,"(('51.8', 'S'), ('178.5', 'E'))"
9/14/2016,0.24,18.3,54,"(('3.5', 'S'), ('44.6', 'E'))"
8/27/2016,0.41,0,42,"(('56.9', 'S'), ('162.2', 'E'))"
8/11/2016,0.52,14.9,34.3,"(('43.7', 'S'), ('53.8', 'E'))"
8/5/2016,0.36,0,32.4,"(('46.4', 'N'), ('171.6', 'E'))"
7/21/2016,0.15,0,37,"(('7.8', 'N'), ('1.6', 'W'))"
7/5/2016,0.44,25.1,38.2,"(('1.0', 'N'), ('48.6', 'E'))"
6/27/2016,1.2,29.1,33.3,"(('15.8', 'N'), ('11.9', 'W'))"
6/5/2016,0.87,14.5,28.7,"(('17.4', 'S'), ('138.3', 'E'))"
6/2/2016,0.49,0,0,"(('33.8', 'N'), ('110.9', 'W'))"
5/29/2016,0.22,0,32,"(('10.2', 'N'), ('48.8', 'W'))"
5/20/2016,0.073,20.8,30.6,"(('32.8', 'S'), ('15.1', 'E'))"
5/16/2016,1.3,12.2,41.7,"(('3.2', 'N'), ('6.6', 'E'))"
5/13/2016,0.31,0,33,"(('26.2', 'N'), ('122.3', 'W'))"
4/24/2016,0.42,0,50,"(('9.8', 'N'), ('42.8', 'W'))"
4/18/2016,0.62,17.1,31.5,"(('20.7', 'N'), ('14.5', 'W'))"
4/12/2016,0.073,0,0,"(('38.3', 'N'), ('162.2', 'E'))"
4/10/2016,1.6,15.1,35.2,"(('22.0', 'N'), ('149.0', 'E'))"
3/16/2016,0.11,13.3,42,"(('49.2', 'S'), ('6.3', 'W'))"
3/3/2016,0.19,11.7,31.8,"(('48.0', 'S'), ('51.0', 'E'))"
2/23/2016,0.12,17.9,44,"(('32.3', 'N'), ('67.2', 'E'))"
